λ,TM,Tm,n1,d1,m,d2,n2
274.0,0.5779174599823292,0.5534569560485866,2.1574114870044836,1146.6660570341082,18.0,1143.0364651594512,3.3157804604583565
291.0,0.6129184392741189,0.5782190439909677,2.164375882027997,766.3516857573885,11.0,739.4741427724415,2.1520302623534464
313.0,0.6293014192278695,0.5944273079244461,2.123791338643862,701.7025954759877,10.0,736.8897177061302,2.1042970075496057
342.0,0.6354610777393223,0.6036552876160759,2.076871353176089,712.2861250955552,9.0,741.0184543430962,2.069337440651018
380.0,0.6415850139859461,0.6118290942346706,2.0408880994125203,745.4723239281401,8.0,744.7738072643667,2.0437900648405116
429.0,0.6490910122618573,0.619033203871967,2.016318208924715,707.646556301723,7.0,744.6741260154254,2.0189149883934396
496.0,0.6550043389912434,0.626959916264786,1.9807636135148146,707.3749343042311,6.0,751.2254313676441,2.0007629055807112
593.0,0.6634262239066787,0.6373653665403467,1.9489753244333456,878.0364071259634,6.0,912.7873389147371,2.39204113509952
738.0,0.6842439967882031,0.6434517584042654,2.00528166537688,872.6712994526483,5.0,920.0702484123317,2.4807846510728577
280.0,0.5902295691685,0.5639837657876685,2.145631780593409,811.6434722703608,12.5,815.6105888383184,2.421382383988768
300.0,0.6196354610551567,0.5898191164288649,2.1140809841772468,818.7134893224782,11.5,815.957389007655,2.3867912070746424
326.0,0.6320626454571414,0.5990497003183187,2.0982084884876624,694.8307654419547,8.5,660.3252286900406,1.9170430245808214
359.0,0.6382007334286014,0.608536865163886,2.0522675393335335,762.1062169433326,8.5,743.4459546611948,2.1110995270690642
401.0,0.6448018703899081,0.6151213233054551,2.029279004249638,709.586512678236,7.5,741.0267375017949,2.080659291384634
458.0,0.6516505118909945,0.6230791103251261,1.9950069768758079,739.0915816997575,6.5,746.1126789295741,2.0595586734670177
535.0,0.6583887211974668,0.6309469896656689,1.9684812900385298,745.5952556565376,5.5,747.403598624604,2.035690761396271
648.0,0.6713254919338613,0.6434517584042654,1.9497018523977467,859.4440511181488,5.5,913.9858988226806,2.465659090438848
