λ,TM,Tm,n1,d1,m,d2,n2,discarded
289.0,0.5633221505736088,0.5524983625297013,2.0236157915395943,1407.9114780104558,20.0,1428.1367105764919,4.215516202835116,yes
296.0,0.571361418591261,0.5565805714970539,2.039864225407244,829.1149512631703,11.5,834.3692579148046,2.4826327256835183,yes
312.0,0.5897368883458948,0.5662587276817667,2.0738623783961043,723.8290052798993,10.0,752.2196343647845,2.2755035558556336,no
325.0,0.5955213637248717,0.5741003298838623,2.043723664439538,724.6834906046344,9.5,755.3614154697138,2.2518003938154707,no
344.0,0.6039975364296591,0.5791445345329155,2.0489410288571848,686.4620932348788,8.0,671.5664241286029,2.007110828754713,no
363.0,0.6085316684400307,0.5841887391819687,2.032227956636006,695.0060211409523,7.5,669.8313521152954,1.9855956509028727,no
388.0,0.6144865905020224,0.5884978643870623,2.028406414127178,674.3694192040422,7.0,669.4910795696467,1.9808550184948401,no
413.0,0.6188716626408214,0.5928138897125805,2.0150294347263205,674.0468243255871,6.5,666.1193017174477,1.9578811845174515,no
447.0,0.6248353607495881,0.5974927501389296,2.005428935226784,649.6283459434428,6.0,668.6848765590156,1.9560578643605158,no
482.0,0.6299488384290988,0.6023036419000608,1.9941389151754632,663.2423100982187,5.5,664.697925461913,1.9334486944145144,no
534.0,0.6375460052672289,0.6091851597544885,1.9847430856847283,655.8237124051558,5.0,672.6311378177344,1.9473059276072249,no
583.0,0.6438786384953826,0.6156645281610604,1.9724903536485623,612.1744448034689,4.5,665.0222636443442,1.9133921726882228,no
664.0,0.6543537292292537,0.6255443728544683,1.9616866396927337,864.6707688827438,5.0,846.2105855296094,2.421369168410482,yes
740.0,0.6543537292292537,0.6348190801104927,1.8992726934487465,809.2769080342332,4.5,876.6513654111731,2.4286624490382245,yes
