λ,TM,Tm,n1,d1,m,d2,n2,discarded
274.0,0.5678630004821748,0.5669765146683383,1.978768329226666,22686.485549634213,328.0,22709.07581058855,64.16460906816366,yes
291.0,0.6134180990478505,0.5893361829839994,2.095125117110801,761.6182692302789,11.0,763.9161914144325,2.285371568755473,no
315.0,0.632067859881807,0.6067226976515635,2.061122431240572,672.9945325898204,9.0,687.7320718628146,2.0240638542398517,no
349.0,0.6386184572520218,0.6144057211657945,2.024303906820018,699.2706497665852,8.0,689.6197726521106,1.9933637675617872,no
393.0,0.6457410138789462,0.6216845420429293,1.998509931711933,693.6313092128144,7.0,688.262779270624,1.9640915918920046,no
454.0,0.6544180068873843,0.6281404958588747,1.9814480215229708,699.3224933088782,6.0,687.3760932437411,1.9448147932801962,no
541.0,0.6638576625480969,0.6347491726915636,1.9743498734797247,654.0200584819609,5.0,685.03562522901,1.9312496387015166,no
676.0,0.67879652852265,0.6497024580002185,1.9502212592835877,922.3306443077796,5.0,866.5683403640161,2.413169603996719,yes
276.0,0.5732760180764491,0.5677140256828652,2.0102436690699474,1022.3674217314118,14.5,995.4017171091383,2.7913855270337913,yes
300.0,0.6204273008279458,0.6022634115169011,2.038329176251404,867.059031870676,11.5,846.2813661787281,2.40636683364982,no
328.0,0.6345686467602007,0.6105763284124102,2.0394280949752486,662.1560664616286,8.5,683.5249565476435,1.9446234006422314,no
368.0,0.6416941067045574,0.6178773632139055,2.010258729149183,685.6234597173258,7.5,686.4787999622654,1.925093466919856,no
419.0,0.6494394043415591,0.6256377996759446,1.9832930619157365,717.0854599256545,6.5,686.6105802259173,1.899634803317474,no
490.0,0.6583219012629296,0.6307176003902967,1.9777033899991394,704.960194343901,5.5,681.3458513617587,1.8797561207786275,no
593.0,0.6696118924049618,0.6388629897004281,1.9728335915653226,599.5466911199715,3.5,526.0200375930384,1.447656337171073,yes
756.0,0.67879652852265,0.660155268958874,1.8846369798344913,834.971007786612,4.5,902.561086405819,2.372886947268605,yes
